,idaviso,ciudad,provincia,precio,tipodeoperacion,tipodepropiedad,habitaciones,metrostotales,iscurrent
33,43160726,Mar de las Pampas,Buenos Aires Costa Atlántica,100000,Venta,Apartamento,1.0,74.0,1
34,43293330,Centro / Microcentro,Capital Federal,119000,Venta,Garage,0.0,130.0,1
35,43409879,Villa Santa Rita,Capital Federal,36000,Alquiler,Apartamento,0.0,27.0,1
36,43451958,Escobar,GBA Norte,140000,Venta,Casa,3.0,,1
37,43495224,San Bernardo,Buenos Aires Costa Atlántica,42000,Venta,Casa,0.0,60.0,1
38,43523344,Palermo,Capital Federal,50000,Alquiler,Apartamento,1.0,44.0,0
39,43558827,Costa Chica,Buenos Aires Costa Atlántica,80000,Venta,Casa,4.0,1000.0,0
40,43587232,Palermo,Capital Federal,78000,Alquiler,Apartamento,2.0,63.0,1
41,43708017,Vicente López,GBA Norte,155000,Alquiler,Casa,4.0,160.0,1
42,43915016,Villa Luro,Capital Federal,55000,Alquiler,Apartamento,1.0,50.0,1
43,43945037,Almagro,Capital Federal,27000,Alquiler,Apartamento,0.0,28.0,0
44,43969575,Moreno,GBA Oeste,3340000,Venta,Casa,2.0,108.0,1
45,43993950,Belgrano,Capital Federal,44000,Alquiler,Apartamento,1.0,38.0,1
46,44046264,San Isidro,GBA Norte,52000,Alquiler,Apartamento,1.0,45.0,1
47,44069394,Vicente López,GBA Norte,50000,Alquiler,PH,1.0,50.0,1
48,44072827,Bialet Massé,Córdoba,61900,Venta,Casa,4.0,300.0,1
49,44103598,Lomas de Zamora,GBA Sur,28000,Alquiler,Apartamento,0.0,27.0,1
50,44105504,Exaltación de la Cruz,GBA Norte,18000,Alquiler,Quinta Vacacional,3.0,1500.0,1
51,44105504,Exaltación de la Cruz,GBA Norte,18000,Alquiler temporal,Quinta Vacacional,3.0,1500.0,1
52,44120735,La Matanza,GBA Oeste,45000,Alquiler,Apartamento,2.0,70.0,1
53,44129124,Villa Urquiza,Capital Federal,45000,Alquiler,PH,2.0,262.0,1
54,44129124,Villa Urquiza,Capital Federal,2300,Alquiler temporal,PH,2.0,262.0,1
55,44150781,Congreso,Capital Federal,39000,Alquiler,Apartamento,1.0,50.0,0
56,44150799,Rosario,Santa Fe,30000,Alquiler,Apartamento,1.0,43.0,0
57,44152655,Rosario,Santa Fe,80000,Alquiler,Casa,2.0,130.0,1
58,44218149,Recoleta,Capital Federal,80000,Venta,Apartamento,1.0,58.0,0
59,44251186,Villa Urquiza,Capital Federal,40000,Alquiler,Apartamento,0.0,43.0,0
60,44277259,Villa Crespo,Capital Federal,120000,Venta,PH,2.0,115.0,1
61,44357136,Núñez,Capital Federal,34000,Alquiler,Apartamento,1.0,29.0,0
62,44360601,Huerta Grande,Córdoba,276000,Venta,Terrenos,0.0,525.0,1
63,44360637,La Falda,Córdoba,175000,Venta,Casa,3.0,905.0,1
64,44364314,Once,Capital Federal,30000,Alquiler,Apartamento,1.0,21.0,1
65,44370697,Caballito,Capital Federal,60000,Alquiler,Apartamento,2.0,82.0,0
66,44374203,Villa Crespo,Capital Federal,125000,Venta,Apartamento,2.0,74.0,1
67,44379257,Barracas,Capital Federal,55000,Alquiler,Apartamento,3.0,63.0,1
68,44387523,Villa Urquiza,Capital Federal,55000,Alquiler,Apartamento,2.0,57.0,1
69,44391341,Salsipuedes,Córdoba,105000,Venta,Casa,3.0,1600.0,1
70,44422151,San Isidro,GBA Norte,100000,Alquiler,Apartamento,3.0,90.0,1
71,44458572,Tigre,GBA Norte,210000,Venta,Casa,3.0,150.0,1
72,44496873,Centro / Microcentro,Capital Federal,92000,Venta,Apartamento,2.0,60.0,1
73,44514033,Palermo,Capital Federal,55000,Alquiler,Apartamento,,42.0,1
74,44586001,Vicente López,GBA Norte,39500,Alquiler,Apartamento,0.0,,0
75,44600504,Recoleta,Capital Federal,60000,Alquiler,Apartamento,1.0,64.0,1
76,44626578,Belgrano,Capital Federal,45000,Alquiler,Apartamento,1.0,32.0,0
77,44706493,Córdoba,Córdoba,5700,Venta,Casa,0.0,30.0,1
78,44716863,Centro / Microcentro,Capital Federal,50000,Alquiler,Apartamento,2.0,90.0,0
79,44733726,Vicente López,GBA Norte,45000,Alquiler,PH,1.0,38.0,1
80,44862119,Palermo,Capital Federal,60000,Alquiler,Apartamento,1.0,55.0,1
81,44970533,Belgrano,Capital Federal,90000,Alquiler,PH,1.0,83.0,0
82,44975571,San Telmo,Capital Federal,50000,Alquiler,Apartamento,2.0,68.0,1
83,45001331,Luján,GBA Oeste,165000,Venta,Casa,3.0,2000.0,1
84,45042402,Caballito,Capital Federal,38000,Alquiler,Apartamento,1.0,42.0,0
85,45048258,Coronel Suárez,Buenos Aires (fuera de GBA),36000,Venta,Casa,2.0,122.0,1
86,45085597,Quilmes,GBA Sur,40000,Alquiler,Casa,2.0,100.0,1
87,45093041,Almagro,Capital Federal,68000,Venta,Apartamento,0.0,45.0,1
88,45119200,Belgrano,Capital Federal,30000,Alquiler,Apartamento,1.0,45.0,0
89,45152226,Lomas de Zamora,GBA Sur,40000,Alquiler,Casa,2.0,90.0,1
90,45157132,Colegiales,Capital Federal,40000,Alquiler,Apartamento,1.0,32.0,0
91,45174957,Belgrano,Capital Federal,41000,Alquiler,Apartamento,1.0,40.0,0
92,45175878,Parque Chacabuco,Capital Federal,58000,Alquiler,PH,2.0,64.0,0
93,45175933,calamuchita,Córdoba,250000,Venta,Terrenos,0.0,5.0,1
94,45222063,Pilar,GBA Norte,26000,Alquiler,Apartamento,1.0,50.0,1
95,45259833,Boedo,Capital Federal,47000,Alquiler,Apartamento,1.0,48.0,0
96,45357483,Belgrano,Capital Federal,80000,Alquiler,PH,2.0,75.0,0
97,45371545,Córdoba,Córdoba,75000,Venta,Casa,2.0,300.0,1
98,45371838,Belgrano,Capital Federal,55000,Alquiler,Apartamento,1.0,70.0,0
99,45444583,Palermo,Capital Federal,125000,Venta,Apartamento,2.0,72.0,1
100,45472392,Congreso,Capital Federal,42000,Alquiler,Apartamento,1.0,35.0,1
101,45475122,Villa del Parque,Capital Federal,157000,Venta,PH,2.0,90.0,1
102,45501224,La Matanza,GBA Oeste,25000,Alquiler,Apartamento,1.0,45.0,0
103,45505189,Colegiales,Capital Federal,180000,Alquiler,Casa,4.0,190.0,1
104,45532113,Córdoba,Córdoba,26000,Alquiler,Apartamento,1.0,45.0,0
105,45564891,Mataderos,Capital Federal,40000,Alquiler,PH,1.0,50.0,1
106,45580446,Belgrano,Capital Federal,40000,Alquiler,Apartamento,0.0,41.0,0
107,45598471,San Luis,San Luis ,60000,Venta,Casa,2.0,45.0,1
108,45631463,Palermo,Capital Federal,85000,Alquiler,Apartamento,2.0,60.0,0
109,45640571,Córdoba,Córdoba,33000,Alquiler,Apartamento,1.0,48.0,0
110,45663623,Caballito,Capital Federal,31500,Alquiler,Apartamento,1.0,38.0,1
111,45708433,La Cumbre,Córdoba,25000,Venta,Casa,1.0,900.0,1
112,45720654,Pilar,GBA Norte,120000,Venta,Casa,3.0,300.0,1
113,45724440,Lomas de Zamora,GBA Sur,25000,Alquiler,Apartamento,,40.0,1
114,45803658,Mar del Plata,Buenos Aires Costa Atlántica,50000,Venta,Casa,2.0,220.0,1
115,45804606,El Plumerillo,Mendoza ,10000000,Venta,Rancho,2.0,60000.0,1
116,45805170,La Paternal,Capital Federal,50000,Alquiler,PH,2.0,37.0,0
117,45815838,San Rafael,Mendoza ,19999,Venta,Casa,0.0,500.0,1
118,45817767,San Isidro,GBA Norte,48000,Alquiler,PH,2.0,65.0,1
119,45853472,Villa Urquiza,Capital Federal,50000,Alquiler,Apartamento,0.0,45.0,1
120,45861316,Barrio Norte,Capital Federal,35000,Alquiler,Apartamento,0.0,30.0,1
121,45873142,Mar del Plata,Buenos Aires Costa Atlántica,73000,Venta,Apartamento,1.0,51.0,1
122,45878111,Balvanera,Capital Federal,51000,Venta,Apartamento,1.0,49.0,1
123,45879996,Villa Urquiza,Capital Federal,120000,Venta,Apartamento,3.0,65.0,1
124,45883551,San Fernando,GBA Norte,42000,Alquiler,Apartamento,,40.0,1
125,46018472,Palermo,Capital Federal,195000,Venta,PH,3.0,105.0,1
126,46033319,Rosario,Santa Fe,24000,Alquiler,Apartamento,2.0,50.0,0
127,46057367,Villa Urquiza,Capital Federal,62000,Alquiler,Apartamento,1.0,45.0,0
128,46061397,Morón,GBA Oeste,23000,Alquiler,Apartamento,1.0,48.0,1
129,46069409,Estados Unidos,Otros Paises,139000,Venta,Apartamento,2.0,73.0,1
130,46091838,Villa Urquiza,Capital Federal,159000,Venta,Casa,3.0,120.0,1
131,46092843,Córdoba,Córdoba,25000,Alquiler,Apartamento,1.0,45.0,0
132,46108712,Palermo,Capital Federal,89990,Alquiler,Apartamento,3.0,80.0,0
133,46122643,Rosario,Santa Fe,28000,Alquiler temporal,Apartamento,2.0,152.0,1
134,46148747,Caballito,Capital Federal,20493,Venta,Apartamento,0.0,35.0,1
135,46181385,Caballito,Capital Federal,70000,Alquiler,Apartamento,1.0,42.0,1
136,46379616,Baradero,Buenos Aires (fuera de GBA),220000,Venta,Rancho,0.0,170000.0,1
137,46400574,Villa Urquiza,Capital Federal,58000,Alquiler,Apartamento,2.0,58.0,1
138,46445182,Rosario,Santa Fe,33000,Alquiler,Apartamento,1.0,,1
139,46469975,Recoleta,Capital Federal,35000,Alquiler,Apartamento,0.0,32.0,0
140,46563740,Villa Crespo,Capital Federal,65000,Venta,PH,1.0,43.0,1
141,46566060,Palermo,Capital Federal,58000,Alquiler,Apartamento,,38.0,1
142,46566213,Juana Koslay,San Luis ,90000,Venta,Casa,3.0,110.0,1
143,46570251,Floresta,Capital Federal,27000,Alquiler,Apartamento,0.0,,1
144,46593958,Retiro,Capital Federal,165000,Venta,Apartamento,3.0,124.0,1
145,46612634,Belgrano,Capital Federal,75000,Alquiler,Apartamento,2.0,105.0,0
146,46614783,Mar del Plata,Buenos Aires Costa Atlántica,45000,Venta,Apartamento,1.0,43.0,1
147,46627211,Belgrano,Capital Federal,130000,Alquiler,Apartamento,2.0,85.0,1
148,46630091,San Isidro,GBA Norte,77500,Alquiler,PH,2.0,133.0,0
149,46633995,Villa Urquiza,Capital Federal,69000,Alquiler,PH,1.0,58.0,0
150,46656809,Caballito,Capital Federal,38000,Alquiler,Apartamento,0.0,30.0,0
151,46667692,Palermo,Capital Federal,80000,Alquiler,Apartamento,1.0,55.0,0
152,46672464,Belgrano,Capital Federal,44000,Alquiler,Apartamento,1.0,30.0,1
153,46673708,Mar del Plata,Buenos Aires Costa Atlántica,45000,Venta,Apartamento,1.0,38.0,1
154,46685251,Caballito,Capital Federal,69500,Venta,Apartamento,1.0,34.0,1
155,46707115,Villa del Parque,Capital Federal,30000,Alquiler,Apartamento,0.0,23.0,1
156,46708243,La Matanza,GBA Oeste,23000,Alquiler,Apartamento,1.0,33.0,1
157,46780593,Potrero de los Funes,San Luis ,140000,Venta,Casa,2.0,110.0,1
158,46784856,Pilar,GBA Norte,95000,Venta,Casa,2.0,375.0,1
159,46796043,Palermo,Capital Federal,90000,Alquiler,Apartamento,1.0,51.0,1
160,46806227,Recoleta,Capital Federal,45000,Alquiler,Apartamento,1.0,38.0,1
161,46834006,Mar del Plata,Buenos Aires Costa Atlántica,35000,Venta,PH,1.0,36.0,1
162,46861630,Caballito,Capital Federal,139000,Venta,Apartamento,3.0,,1
163,46888928,Recoleta,Capital Federal,210000,Venta,Apartamento,2.0,140.0,0
164,46911299,Vicente López,GBA Norte,36000,Alquiler,PH,1.0,25.0,0
165,46914435,Almagro,Capital Federal,70000,Venta,Apartamento,2.0,47.0,1
166,46923755,Floresta,Capital Federal,107000,Venta,PH,6.0,150.0,1
167,46931862,Parque Chacabuco,Capital Federal,60000,Alquiler,PH,3.0,90.0,0
168,46931917,Villa Devoto,Capital Federal,43000,Alquiler,Apartamento,1.0,40.0,0
169,46943910,General San Martín,GBA Norte,35000,Alquiler,PH,1.0,45.0,1
170,46945543,Coghlan,Capital Federal,61000,Alquiler,Apartamento,1.0,47.0,0
171,46959010,San Cristobal,Capital Federal,55000,Alquiler,Apartamento,3.0,72.0,1
172,46991354,Costa del Este,Buenos Aires Costa Atlántica,29200,Venta,Casa,0.0,40.0,1
173,46994123,Caballito,Capital Federal,98000,Venta,Apartamento,2.0,57.0,1
174,46994851,Liniers,Capital Federal,28000,Alquiler,Apartamento,1.0,35.0,1
175,46999050,San Isidro,GBA Norte,60000,Alquiler,PH,2.0,81.0,0
176,47010667,Centro / Microcentro,Capital Federal,28500,Alquiler,Apartamento,0.0,30.0,0
177,47048762,Floresta,Capital Federal,40000,Alquiler,Apartamento,1.0,50.0,0
178,47056003,San Isidro,GBA Norte,155000,Venta,PH,2.0,84.0,1
179,47112227,Congreso,Capital Federal,60000,Alquiler,Apartamento,0.0,99.0,0
180,47114132,Pilar,GBA Norte,120000,Venta,Casa,3.0,250.0,0
181,47120201,Villa Urquiza,Capital Federal,90000,Alquiler,Apartamento,3.0,80.0,1
182,47154186,San Cristobal,Capital Federal,30700,Venta,Apartamento,0.0,18.0,1
183,47177734,Núñez,Capital Federal,40000,Alquiler temporal,Apartamento,0.0,40.0,1
184,47192866,Floresta,Capital Federal,36000,Venta,Apartamento,1.0,40.0,1
185,47201773,La Plata,GBA Sur,103000,Venta,Casa,2.0,555.0,1
186,47201869,Villa Urquiza,Capital Federal,80000,Alquiler,Apartamento,2.0,69.0,0
187,47205352,Caballito,Capital Federal,56000,Alquiler,Apartamento,2.0,,1
188,47207061,Núñez,Capital Federal,115000,Alquiler,Apartamento,2.0,64.0,1
189,47215248,San Telmo,Capital Federal,42000,Alquiler,Apartamento,1.0,35.0,0
190,47229068,Caballito,Capital Federal,95000,Venta,PH,2.0,,1
191,47239606,San Isidro,GBA Norte,50000,Alquiler,PH,2.0,55.0,1
192,47249031,San Cristobal,Capital Federal,55000,Venta,Apartamento,0.0,31.0,1
193,47250894,Barrio Norte,Capital Federal,32000,Alquiler,Apartamento,0.0,23.0,1
194,47296924,Palermo,Capital Federal,58000,Alquiler,Apartamento,1.0,60.0,0
195,47304905,Tres de Febrero,GBA Oeste,25000,Venta,Apartamento,0.0,38.0,1
196,47310270,San Isidro,GBA Norte,650,Alquiler,Casa,2.0,1.0,1
197,47315908,Palermo,Capital Federal,50000,Alquiler temporal,Apartamento,2.0,68.0,0
198,47317656,Recoleta,Capital Federal,49000,Alquiler temporal,Apartamento,1.0,32.0,1
199,47329182,Palermo,Capital Federal,68000,Alquiler,Apartamento,1.0,47.0,1
200,47333132,Lanús,GBA Sur,18500,Alquiler,PH,0.0,28.0,1
201,47340109,Caballito,Capital Federal,95000,Venta,Apartamento,2.0,65.0,1
202,47355891,Pilar,GBA Norte,196000,Venta,Casa,5.0,322.0,1
203,47363671,Palermo,Capital Federal,38000,Alquiler,Apartamento,0.0,32.0,1
204,47367939,Palermo,Capital Federal,42000,Alquiler,Apartamento,1.0,34.0,1
205,47377820,Parque Chas,Capital Federal,48000,Alquiler,Apartamento,1.0,30.0,0
206,47383126,Centro / Microcentro,Capital Federal,20000,Alquiler,Apartamento,0.0,39.0,1
207,47384586,Belgrano,Capital Federal,480000,Venta,Apartamento,4.0,190.0,1
208,47418148,Centro / Microcentro,Capital Federal,50000,Alquiler,Apartamento,2.0,70.0,0
209,47419876,Núñez,Capital Federal,55000,Venta,Apartamento,0.0,39.0,1
210,47423574,Nono,Córdoba,85000,Venta,Casa,5.0,180.0,1
211,47429526,Recoleta,Capital Federal,130000,Alquiler,Apartamento,3.0,117.0,1
212,47433707,Morón,GBA Oeste,35000,Venta,Apartamento,2.0,45.0,1
213,47450081,Balvanera,Capital Federal,45000,Alquiler,Apartamento,1.0,35.0,0
214,47467882,Palermo,Capital Federal,289999,Venta,Apartamento,3.0,140.0,1
215,47475324,Balvanera,Capital Federal,45000,Venta,Apartamento,2.0,54.0,1
216,47486105,Caballito,Capital Federal,89000,Alquiler,PH,2.0,146.0,0
217,47491763,San Isidro,GBA Norte,120000,Alquiler,Casa,2.0,200.0,1
218,47497173,Agronomía,Capital Federal,56000,Venta,Apartamento,1.0,40.0,1
219,47503018,Villa Urquiza,Capital Federal,34784,Venta,Apartamento,1.0,52.0,1
220,47503371,Almagro,Capital Federal,84000,Venta,Apartamento,2.0,67.0,1
221,47508575,Belgrano,Capital Federal,22440,Venta,Apartamento,0.0,35.0,1
222,47510607,Pilar,GBA Norte,129000,Venta,Casa,2.0,124.0,1
223,47514811,Tigre,GBA Norte,165000,Venta,Casa,2.0,300.0,1
224,47520636,Palermo,Capital Federal,140000,Venta,PH,1.0,45.0,1
225,47531717,Congreso,Capital Federal,18000,Alquiler,Apartamento,0.0,35.0,1
226,47535003,San Cristobal,Capital Federal,29000,Venta,Apartamento,0.0,20.0,1
227,47548041,Pilar,GBA Norte,149900,Venta,Casa,3.0,150.0,1
228,47577301,San Rafael,Mendoza ,80000,Venta,Rancho,0.0,140000.0,1
229,47593289,Vicente López,GBA Norte,189000,Venta,Casa,2.0,200.0,1
230,47600229,Núñez,Capital Federal,45000,Alquiler,Apartamento,1.0,42.0,0
231,47602001,Barrio Norte,Capital Federal,255000,Venta,Apartamento,3.0,120.0,1
232,47603222,Palermo,Capital Federal,195000,Venta,Apartamento,2.0,79.0,1
233,47632517,Lanús,GBA Sur,35000,Alquiler,PH,2.0,60.0,1
234,47640828,Recoleta,Capital Federal,51000,Venta,Apartamento,0.0,24.0,1
235,47640828,Recoleta,Capital Federal,30000,Alquiler,Apartamento,0.0,24.0,1
236,47647641,Barrio Norte,Capital Federal,160000,Venta,Apartamento,2.0,63.0,1
237,47687525,Santa María de Punilla,Córdoba,89000,Venta,Casa,2.0,700.0,1
238,47688258,Constitución,Capital Federal,58000,Venta,Apartamento,4.0,105.0,1
239,47703248,Colegiales,Capital Federal,35000,Alquiler,Apartamento,1.0,28.0,0
240,47721171,Morón,GBA Oeste,79000,Venta,PH,2.0,130.0,1
241,47740682,La Paternal,Capital Federal,40000,Alquiler,Apartamento,1.0,30.0,1
242,47766448,Villa Urquiza,Capital Federal,69000,Alquiler,PH,1.0,58.0,0
243,47773229,Pilar,GBA Norte,185000,Venta,Casa,3.0,583.0,1
244,47784942,Caballito,Capital Federal,139000,Venta,Apartamento,2.0,104.0,1
245,47815781,Lanús,GBA Sur,33000,Alquiler,PH,1.0,58.0,1
246,47816156,Villa Crespo,Capital Federal,46000,Alquiler,Apartamento,,29.0,0
247,47833591,Flores,Capital Federal,28000,Alquiler,PH,0.0,20.0,1
248,47848587,San Telmo,Capital Federal,42000,Alquiler,Apartamento,1.0,46.0,1
249,47852758,Recoleta,Capital Federal,100000,Alquiler temporal,Apartamento,1.0,50.0,1
250,47853442,Potrero de los Funes,San Luis ,90000,Venta,Casa,3.0,120.0,1
251,47861144,San Cristobal,Capital Federal,40000,Venta,Apartamento,1.0,30.0,1
252,47901004,Mataderos,Capital Federal,33000,Alquiler,Apartamento,1.0,40.0,0
253,47926010,Villa Urquiza,Capital Federal,43000,Alquiler,Apartamento,0.0,57.0,1
254,47926974,Villa Crespo,Capital Federal,158000,Venta,PH,2.0,94.0,1
255,47931537,Núñez,Capital Federal,35000,Alquiler,Apartamento,0.0,21.0,0
256,47947678,Palermo,Capital Federal,198000,Venta,Apartamento,2.0,113.0,1
257,47957387,Villa Giardino,Córdoba,80000,Venta,Casa,4.0,180.0,1
258,47989142,Tigre,GBA Norte,180000,Venta,Casa,3.0,350.0,1
259,47989941,San Miguel,GBA Norte,65000,Venta,Casa,0.0,500.0,1
260,48000813,Pilar,GBA Norte,160000,Venta,Casa,3.0,480.0,1
261,48008916,Floresta,Capital Federal,100000,Venta,PH,2.0,103.0,0
262,48024616,Vicente López,GBA Norte,155000,Venta,PH,2.0,87.0,1
263,48043066,Flores,Capital Federal,45000,Venta,Apartamento,2.0,41.0,0
264,48043737,Balvanera,Capital Federal,30000,Alquiler temporal,Apartamento,1.0,40.0,1
265,48047235,Capital Federal,,36000,Alquiler,Apartamento,1.0,35.0,0
266,48052195,Vicente López,GBA Norte,39000,Alquiler,Apartamento,1.0,38.0,0
267,48057891,Mar del Plata,Buenos Aires Costa Atlántica,65900,Venta,Apartamento,2.0,63.0,1
268,48061812,Recoleta,Capital Federal,65000,Alquiler temporal,Apartamento,1.0,,1
269,48086232,Palermo,Capital Federal,90000,Alquiler temporal,Apartamento,0.0,42.0,1
270,48105284,Palermo,Capital Federal,130000,Alquiler temporal,Apartamento,2.0,78.0,1
271,48136543,Villa Urquiza,Capital Federal,124999,Venta,PH,2.0,69.0,1
272,48151772,Tigre,GBA Norte,115000,Venta,Casa,4.0,12734.0,1
273,48164188,Tigre,GBA Norte,189000,Venta,Casa,3.0,300.0,1
274,48188871,Villa Devoto,Capital Federal,30000,Alquiler,Apartamento,1.0,56.0,1
275,48192412,Núñez,Capital Federal,92000,Venta,Apartamento,1.0,52.0,1
276,48192750,Recoleta,Capital Federal,100000,Venta,Apartamento,1.0,40.0,1
277,48193433,Villa Crespo,Capital Federal,34000,Alquiler,Apartamento,1.0,50.0,0
278,48201279,Belgrano,Capital Federal,139000,Venta,Apartamento,2.0,,1
279,48205770,Villa del Parque,Capital Federal,70000,Alquiler,PH,2.0,70.0,1
280,48225157,Rosario,Santa Fe,99000,Venta,Apartamento,3.0,98.0,0
281,48231305,Retiro,Capital Federal,55000,Alquiler,Apartamento,2.0,71.0,0
282,48232163,Palermo,Capital Federal,40000,Alquiler,Apartamento,1.0,50.0,0
283,48265002,Mar del Plata,Buenos Aires Costa Atlántica,79000,Venta,Casa,3.0,999.0,1
284,48270050,Vicente López,GBA Norte,72000,Alquiler,PH,2.0,84.0,0
285,48291210,Balvanera,Capital Federal,33000,Alquiler,Apartamento,0.0,26.0,1
286,48303744,Belgrano,Capital Federal,95000,Alquiler,PH,3.0,100.0,1
287,48312875,Santa María de Punilla,Córdoba,90000,Venta,Casa,2.0,500.0,1
288,48313714,Pilar,GBA Norte,25000,Venta,Apartamento,1.0,68.0,1
289,48318881,Recoleta,Capital Federal,50000,Alquiler,Apartamento,2.0,70.0,0
290,48324463,Núñez,Capital Federal,54673,Venta,Apartamento,1.0,60.0,1
291,48328614,Almagro,Capital Federal,30000,Venta,PH,1.0,35.0,1
292,48334306,Villa Crespo,Capital Federal,52000,Alquiler,Apartamento,2.0,46.0,0
293,48338778,Pilar,GBA Norte,102000,Venta,Casa,3.0,375.0,1
294,48362464,Recoleta,Capital Federal,187000,Venta,Apartamento,2.0,92.0,1
295,48368248,Congreso,Capital Federal,75000,Alquiler,PH,3.0,130.0,1
296,48393926,Palermo,Capital Federal,157000,Venta,Apartamento,2.0,83.0,1
297,48395849,Villa Crespo,Capital Federal,107000,Venta,PH,2.0,74.0,1
298,48401371,Vicente López,GBA Norte,176500,Venta,Apartamento,2.0,76.0,1
299,48407970,Tigre,GBA Norte,198000,Venta,Casa,3.0,300.0,1
300,48434534,Rosario,Santa Fe,83000,Venta,Casa,2.0,93.0,0
301,48450594,San Isidro,GBA Norte,107000,Alquiler,Casa,3.0,,1
302,48456593,Barrio Norte,Capital Federal,40000,Alquiler,Apartamento,0.0,30.0,0
303,48458920,Almagro,Capital Federal,145000,Venta,PH,2.0,140.0,1
304,48459580,Colegiales,Capital Federal,185000,Venta,PH,3.0,115.0,1
305,48484838,Recoleta,Capital Federal,59000,Alquiler,Apartamento,2.0,56.0,1
306,48507147,Caballito,Capital Federal,104500,Venta,PH,2.0,51.0,1
307,48510025,Mar del Plata,Buenos Aires Costa Atlántica,69000,Venta,Casa,2.0,211.0,1
308,48518203,Belgrano,Capital Federal,140000,Venta,Apartamento,1.0,45.0,1
309,48529614,Boedo,Capital Federal,130000,Venta,PH,2.0,100.0,1
310,48530530,Villa Urquiza,Capital Federal,50000,Alquiler,Apartamento,0.0,43.0,1
311,48530633,Mar del Plata,Buenos Aires Costa Atlántica,75000,Venta,Casa,7.0,350.0,1
312,48531547,Vicente López,GBA Norte,78000,Venta,Apartamento,0.0,35.0,1
313,48531829,Villa Urquiza,Capital Federal,65000,Alquiler temporal,Apartamento,2.0,70.0,1
314,48533585,Vicente López,GBA Norte,189000,Venta,PH,2.0,0.0,1
315,48536301,Almagro,Capital Federal,38000,Alquiler,Apartamento,1.0,30.0,1
316,48540052,Villa Crespo,Capital Federal,68999,Venta,PH,,51.0,1
317,48541222,Rosario,Santa Fe,83000,Venta,Apartamento,2.0,81.0,1
318,48561460,Vicente López,GBA Norte,65000,Alquiler,Apartamento,1.0,56.0,1
319,48569234,Barrio Norte,Capital Federal,107500,Venta,Apartamento,1.0,62.0,1
320,48577535,Palermo,Capital Federal,88000,Alquiler,Apartamento,3.0,113.0,1
321,48579851,Belgrano,Capital Federal,198000,Venta,PH,2.0,186.0,1
322,48591279,Recoleta,Capital Federal,60000,Alquiler,Apartamento,2.0,60.0,1
